DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2010,10263,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2011,10778,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2012,11211,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2013,11804,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2014,11981,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2015,12104,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2016,12497,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2017,12562,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2018,13122,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2019,13252,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2020,7375,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,AT,2021,8380,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2014,35,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2015,34,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2016,24,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2017,29,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2018,39,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2019,56,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2020,14,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BA,2021,18,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2010,10498,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2011,10669,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2015,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2016,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2017,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2018,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2019,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2020,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BE,2021,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2010,2090,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2011,2059,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2012,1870,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2013,1821,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2014,1698,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2015,1549,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2016,1455,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2017,1434,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2018,1476,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2019,1520,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2020,1118,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,BG,2021,1203,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2010,19093,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2011,19387,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2012,19180,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2013,19368,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2014,19934,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2015,20228,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2016,20657,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2017,20707,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2018,20451,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2019,21559,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2020,13261,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CH,2021,14223,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2010,6559,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2011,6669,p
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2012,7196,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2013,7512,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2014,7644,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2015,8125,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2016,8738,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2017,9403,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2018,10220,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2019,10856,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2020,6623,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,CZ,2021,6752,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2010,82837,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2011,89316,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2012,93918,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2013,89450,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2014,90978,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2015,91050,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2016,95465,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2017,95529,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2018,98161,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2019,100252,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2020,57787,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DE,2021,57518,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2010,6341,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2011,6605,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2012,6744,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2013,6785,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2014,6513,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2015,6507,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2016,6332,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2017,6280,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2018,6182,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2019,6174,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2020,3940,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,DK,2021,4181,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2010,247,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2011,243,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2012,235,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2013,223,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2014,280,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2015,286,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2016,316,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2017,366,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2018,417,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2019,392,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2020,263,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EE,2021,290,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2010,1383,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2011,958,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2012,832,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2013,1056,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2014,1072,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2015,1263,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2016,1192,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2017,1112,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2018,1104,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2019,1252,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2020,640,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EL,2021,653,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2010,22343,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2011,22931,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2012,22446,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2013,23755,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2014,25034,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2015,26108,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2016,26646,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2017,27490,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2018,28420,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2019,28847,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2020,12060,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,ES,2021,17002,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2011,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2015,443666,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2016,453141,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2017,463798,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2018,470614,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2007,2019,486337,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2011,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2015,378013,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2016,385958,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2017,395622,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2018,401656,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2019,415238,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2020,224516,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU27_2020,2021,261517,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2011,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2015,444607,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2016,453968,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2017,464534,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2018,471362,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,EU28,2019,487061,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2010,3959,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2011,3882,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2012,4035,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2013,4053,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2014,3874,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2015,4114,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2016,3868,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2017,4271,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2018,4535,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2019,4924,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2020,2820,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2021,2903,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2011,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2012,91205,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2013,90485,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2014,89499,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2015,91377,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2016,91832,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2017,95024,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2018,91818,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2019,96540,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2020,56606,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2021,75854,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2010,1711,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2011,1457,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2012,1080,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2013,935,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2014,917,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2015,941,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2016,827,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2017,736,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2018,747,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2019,724,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2020,448,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2021,538,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HU,2010,7653,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HU,2011,7763,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HU,2012,7769,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HU,2013,7806,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HU,2014,7710,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HU,2015,,c
